Package,Built
assertthat,3.4.3
backports,3.4.3
base64enc,3.4.1
BH,3.4.1
bindr,3.4.3
bindrcpp,3.4.3
bitops,3.4.1
broom,3.4.3
caTools,3.4.3
cellranger,3.4.3
cli,3.4.3
clipr,3.4.3
clisymbols,3.4.3
colorspace,3.4.3
crayon,3.4.3
curl,3.4.3
data.table,3.4.3
DBI,3.4.3
dbplyr,3.4.3
debugme,3.4.3
desc,3.4.3
dichromat,3.4.1
digest,3.4.3
dplyr,3.4.3
enc,3.4.3
evaluate,3.4.3
forcats,3.4.3
fs,3.4.3
ggplot2,3.4.3
gh,3.4.3
git2r,3.4.3
glue,3.4.3
gtable,3.4.3
haven,3.4.3
highr,3.4.3
hms,3.4.3
htmltools,3.4.3
httr,3.4.3
ini,3.4.3
jsonlite,3.4.3
knitr,3.4.3
labeling,3.4.1
lazyeval,3.4.3
lubridate,3.4.3
magrittr,3.4.3
markdown,3.4.3
mime,3.4.1
mnormt,3.4.1
modelr,3.4.3
munsell,3.4.3
openssl,3.4.3
pillar,3.4.3
pkgconfig,3.4.3
plogr,3.4.3
plyr,3.4.3
praise,3.4.3
psych,3.4.3
purrr,3.4.3
R6,3.4.3
RColorBrewer,3.4.1
Rcpp,3.4.3
readr,3.4.3
readxl,3.4.3
rematch,3.4.3
rematch2,3.4.3
reprex,3.4.3
reshape2,3.4.3
rlang,3.4.3
rmarkdown,3.4.3
rprojroot,3.4.3
rstudioapi,3.4.3
rvest,3.4.3
scales,3.4.3
selectr,3.4.3
stringi,3.4.2
stringr,3.4.3
styler,3.4.3
testthat,3.4.3
tibble,3.4.3
tidyr,3.4.3
tidyselect,3.4.3
tidyverse,3.4.3
usethis,3.4.3
utf8,3.4.3
viridisLite,3.4.3
whisker,3.4.3
withr,3.4.3
xml2,3.4.3
yaml,3.4.3
